CustomerID,Date,Age,Income,Expenditure,Score,LoanStatus,Category,Review
1,2023-01-01,25,8122.0,3286.0,51,Rejected,Shopping,Average
2,2023-01-02,46,6591.0,3315.0,81,Approved,Food,Bad
3,2023-01-03,24,2197.0,932.0,64,Rejected,Food,Average
4,2023-01-04,40,4148.0,2181.0,66,Rejected,Food,Bad
5,2023-01-05,44,5252.0,3756.0,98,Rejected,Shopping,Bad
6,2023-01-06,49,3001.0,1416.0,75,Rejected,Food,Bad
7,2023-01-07,35,2169.0,1285.0,99,Rejected,Food,Bad
8,2023-01-08,44,6125.0,3479.0,96,Approved,Shopping,Excellent
9,2023-01-09,29,4330.0,2764.0,83,Rejected,Shopping,Good
10,2023-01-10,46,7952.0,2606.0,71,Approved,Food,Average
11,2023-01-11,47,9932.0,6308.0,69,Approved,Shopping,Good
12,2023-01-12,29,4238.0,3076.0,68,Rejected,Food,Average
13,2023-01-13,59,2726.0,1558.0,50,Rejected,Travel,Bad
14,2023-01-14,25,7858.0,3374.0,63,Rejected,Travel,Excellent
15,2023-01-15,28,9180.0,5531.0,60,Rejected,Travel,Bad
16,2023-01-16,21,6742.0,4182.0,77,Approved,Travel,Good
17,2023-01-17,32,9656.0,5749.0,78,Approved,Food,Excellent
18,2023-01-18,27,3954.0,1447.0,58,Rejected,Travel,Excellent
19,2023-01-19,40,2443.0,1803.0,83,Rejected,Food,Good
20,2023-01-20,26,,1537.0,86,Rejected,Food,Good
21,2023-01-21,45,9790.0,4807.0,75,Approved,Shopping,Excellent
22,2023-01-22,21,8004.0,4539.0,94,Approved,Travel,Average
23,2023-01-23,55,8641.0,2746.0,92,Approved,Food,Excellent
24,2023-01-24,30,7469.0,,78,Approved,Food,Average
25,2023-01-25,35,6582.0,4399.0,57,Rejected,Travel,Average
26,2023-01-26,59,7354.0,4312.0,99,Approved,Travel,Good
27,2023-01-27,25,8673.0,5572.0,65,Rejected,Food,Average
28,2023-01-28,30,9173.0,3528.0,50,Rejected,Shopping,Good
29,2023-01-29,44,4895.0,2146.0,68,Rejected,Shopping,Excellent
30,2023-01-30,56,2049.0,841.0,89,Rejected,Travel,Bad
31,2023-01-31,24,3462.0,1967.0,94,Rejected,Shopping,Good
32,2023-02-01,29,7452.0,2543.0,98,Approved,Food,Bad
33,2023-02-02,40,7737.0,5439.0,50,Rejected,Food,Excellent
34,2023-02-03,22,,3604.0,94,Approved,Travel,Bad
35,2023-02-04,21,7084.0,3543.0,59,Rejected,Food,Excellent
36,2023-02-05,37,2182.0,757.0,96,Rejected,Food,Average
37,2023-02-06,52,3711.0,2257.0,84,Rejected,Shopping,Good
38,2023-02-07,50,8565.0,5718.0,98,Approved,Travel,Good
39,2023-02-08,49,6041.0,3523.0,93,Approved,Food,Excellent
40,2023-02-09,28,4647.0,1900.0,55,Rejected,Food,Bad
41,2023-02-10,44,7781.0,5084.0,71,Approved,Travel,Excellent
42,2023-02-11,31,5332.0,1949.0,66,Rejected,Shopping,Average
43,2023-02-12,56,,5794.0,91,Approved,Shopping,Excellent
44,2023-02-13,21,8732.0,4901.0,61,Rejected,Travel,Excellent
45,2023-02-14,28,2233.0,,92,Rejected,Travel,Bad
46,2023-02-15,44,8475.0,4499.0,82,Approved,Travel,Bad
47,2023-02-16,49,8918.0,5199.0,90,Approved,Food,Good
48,2023-02-17,53,5960.0,2481.0,86,Approved,Travel,Average
49,2023-02-18,42,8369.0,5700.0,55,Rejected,Travel,Average
50,2023-02-19,57,6565.0,3213.0,78,Approved,Shopping,Average
51,2023-02-20,56,6181.0,4336.0,93,Approved,Food,Excellent
52,2023-02-21,54,3694.0,2496.0,79,Rejected,Travel,Average
53,2023-02-22,24,5947.0,2049.0,99,Approved,Food,Bad
54,2023-02-23,48,4524.0,2672.0,96,Rejected,Shopping,Bad
55,2023-02-24,54,3848.0,1692.0,92,Rejected,Food,Bad
56,2023-02-25,40,3843.0,2456.0,98,Rejected,Travel,Good
57,2023-02-26,48,8391.0,4566.0,81,Approved,Travel,Average
58,2023-02-27,25,3207.0,1622.0,57,Rejected,Food,Bad
59,2023-02-28,40,9801.0,6889.0,78,Approved,Travel,Average
60,2023-03-01,54,3100.0,1009.0,97,Rejected,Food,Excellent
61,2023-03-02,51,5949.0,3276.0,98,Approved,Food,Bad
62,2023-03-03,58,7028.0,,64,Rejected,Food,Average
63,2023-03-04,30,7831.0,2473.0,97,Approved,Food,Good
64,2023-03-05,50,8229.0,5259.0,63,Rejected,Food,Excellent
65,2023-03-06,38,3722.0,2057.0,69,Rejected,Travel,Good
66,2023-03-07,52,7929.0,5569.0,91,Approved,Shopping,Bad
67,2023-03-08,23,7350.0,4183.0,63,Rejected,Food,Excellent
68,2023-03-09,40,7007.0,3164.0,74,Approved,Food,Bad
69,2023-03-10,39,5883.0,4373.0,53,Rejected,Travel,Bad
70,2023-03-11,42,9483.0,3338.0,57,Rejected,Shopping,Bad
71,2023-03-12,24,2850.0,922.0,99,Rejected,Food,Excellent
72,2023-03-13,32,,1621.0,92,Rejected,Shopping,Average
73,2023-03-14,37,,3755.0,82,Approved,Shopping,Average
74,2023-03-15,33,4448.0,2057.0,83,Rejected,Shopping,Good
75,2023-03-16,50,5107.0,3546.0,61,Rejected,Food,Average
76,2023-03-17,30,9757.0,4364.0,77,Approved,Shopping,Good
77,2023-03-18,33,2288.0,,54,Rejected,Shopping,Average
78,2023-03-19,24,4677.0,2758.0,88,Rejected,Travel,Average
79,2023-03-20,35,8871.0,3974.0,81,Approved,Travel,Excellent
80,2023-03-21,41,5039.0,1646.0,99,Rejected,Shopping,Average
81,2023-03-22,36,6257.0,2567.0,80,Approved,Travel,Bad
82,2023-03-23,56,6141.0,4518.0,64,Rejected,Food,Excellent
83,2023-03-24,25,8056.0,3885.0,94,Approved,Shopping,Bad
84,2023-03-25,29,3652.0,1358.0,93,Rejected,Shopping,Excellent
85,2023-03-26,47,6571.0,2852.0,62,Rejected,Travel,Bad
86,2023-03-27,44,8542.0,6020.0,66,Approved,Food,Average
87,2023-03-28,34,4093.0,1531.0,99,Rejected,Shopping,Average
88,2023-03-29,24,6969.0,4530.0,76,Approved,Travel,Good
89,2023-03-30,50,9210.0,3321.0,82,Approved,Food,Excellent
90,2023-03-31,33,4912.0,3598.0,93,Rejected,Travel,Bad
91,2023-04-01,33,2290.0,,83,Rejected,Travel,Good
92,2023-04-02,36,9263.0,2958.0,58,Rejected,Travel,Bad
93,2023-04-03,50,4231.0,3041.0,80,Rejected,Shopping,Good
94,2023-04-04,29,4278.0,1973.0,83,Rejected,Shopping,Good
95,2023-04-05,59,2914.0,1833.0,65,Rejected,Travel,Excellent
96,2023-04-06,27,2265.0,1213.0,72,Rejected,Food,Good
97,2023-04-07,42,3993.0,1364.0,84,Rejected,Food,Average
98,2023-04-08,48,2269.0,788.0,62,Rejected,Food,Good
